customer_id,annual_income,spending_score,age,years_as_customer
1,15000,39,19,1
2,15500,81,21,2
3,16000,6,20,1
4,16500,77,23,3
5,17000,40,31,2
6,17500,76,22,1
7,18000,6,35,4
8,18500,94,23,2
9,19000,3,64,5
10,19500,72,30,3
11,20000,14,67,6
12,20500,99,35,2
13,21000,15,58,7
14,21500,77,24,1
15,22000,13,37,4
16,22500,79,22,2
17,23000,35,56,8
18,23500,66,49,5
19,24000,29,41,3
20,24500,98,36,2
21,25000,35,42,4
22,25500,73,42,3
23,26000,5,59,9
24,26500,73,63,7
25,27000,14,50,6
26,27500,82,46,4
27,28000,32,41,5
28,28500,61,30,2
29,29000,31,65,10
30,29500,87,29,1
31,30000,4,48,6
32,30500,73,50,5
33,31000,13,42,4
34,31500,75,45,3
35,32000,10,60,8
36,32500,92,54,4
37,33000,35,53,7
38,33500,81,48,5
39,34000,5,52,6
40,34500,71,56,7
41,35000,11,55,9
42,35500,75,52,6
43,36000,9,59,8
44,36500,75,35,3
45,37000,34,47,5
46,37500,71,43,4
47,38000,11,40,5
48,38500,78,42,3
49,39000,33,45,6
50,39500,74,38,4
51,40000,1,32,2
52,54000,39,31,3
53,54500,65,25,1
54,55000,28,34,4
55,55500,55,33,3
56,56000,45,26,2
57,56500,32,35,4
58,57000,47,28,2
59,57500,42,29,3
60,58000,52,37,5
61,58500,39,36,4
62,59000,50,27,2
63,59500,47,38,5
64,60000,51,39,6
65,60500,46,45,7
66,61000,56,46,6
67,61500,55,40,5
68,62000,52,32,3
69,62500,59,41,4
70,63000,51,47,7
71,63500,59,48,6
72,64000,50,33,3
73,64500,48,27,2
74,65000,59,55,8
75,65500,47,54,7
76,66000,55,53,6
77,66500,42,44,5
78,67000,53,43,4
79,67500,48,26,2
80,68000,52,30,3
81,70000,18,19,1
82,71000,35,21,2
83,72000,25,20,1
84,73000,37,23,2
85,74000,26,31,4
86,75000,35,22,2
87,76000,27,35,5
88,77000,32,23,1
89,78000,29,64,9
90,79000,34,30,3
91,80000,23,67,10
92,81000,39,35,3
93,82000,21,58,8
94,83000,36,24,2
95,84000,22,37,5
96,85000,38,22,1
97,86000,19,56,7
98,87000,37,49,6
99,88000,25,41,5
100,89000,31,36,4
